00:16:26 186	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
00:16:26 197	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
00:16:26 210	<LAYER 2-3-3-1> INFO:Start download image,total=2728988160,band=64,DirectLBA=1,First4Access=1,Gpt=1
00:16:26 224	<LAYER 2-3-3-1> INFO:Start to download trust,offset=0x6000,size=4194304
00:16:26 340	<LAYER 2-3-3-1> INFO:Start to download uboot,offset=0x4000,size=4194304
00:16:26 456	<LAYER 2-3-3-1> INFO:Start to download boot,offset=0xa000,size=22562816
00:16:27 059	<LAYER 2-3-3-1> INFO:Start to download rootfs:grow,offset=0x5a000,size=2698002432
00:17:35 885	Layer<2-3-3-1>:下载固件成功
00:38:33 483	Error:LoadFwProc-->create image object failed,ret=-5!
01:20:27 938	Error:LoadFwProc-->create image object failed,ret=-9!
01:25:42 139	Error:LoadFwProc-->create image object failed,ret=-9!
01:28:04 183	Error:LoadFwProc-->create image object failed,ret=-9!
01:31:11 580	Error:LoadFwProc-->create image object failed,ret=-9!
01:32:39 091	Error:LoadFwProc-->create image object failed,ret=-9!
01:34:06 780	Error:LoadFwProc-->create image object failed,ret=-9!
01:45:40 921	Layer<2-3-3-1>:测试设备开始
01:45:40 936	Layer<2-3-3-1>:测试设备成功
01:45:40 951	Layer<2-3-3-1>:校验芯片开始
01:45:40 965	Layer<2-3-3-1>:校验芯片成功
01:45:40 980	Layer<2-3-3-1>:获取FlashInfo开始
01:45:40 992	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
01:45:41 007	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
01:45:41 020	Layer<2-3-3-1>:获取FlashInfo成功
01:45:41 034	Layer<2-3-3-1>:准备IDB开始
01:45:41 048	<LAYER 2-3-3-1> INFO:CS(1)		(29820MB)		(UNKNOWN)
01:45:41 078	Layer<2-3-3-1>:准备IDB成功
01:45:41 091	Layer<2-3-3-1>:下载IDB开始
01:45:41 473	Layer<2-3-3-1>:下载IDB成功
01:45:41 487	Layer<2-3-3-1>:下载固件开始
01:45:41 500	<LAYER 2-3-3-1> INFO:FlashInfo: 00 E0 A3 03 00 04 04 00 28 00 01
01:45:41 514	<LAYER 2-3-3-1> INFO:GetFlashInfo-->Emmc storage.
01:45:41 528	<LAYER 2-3-3-1> INFO:Start download image,total=1073776128,band=64,DirectLBA=1,First4Access=1,Gpt=1
01:45:41 791	<LAYER 2-3-3-1> INFO:Start to download root,offset=0x9e000,size=1073741824
01:46:47 818	Layer<2-3-3-1>:下载固件成功
01:53:50 827	Layer<2-3-3-1>:测试设备开始
01:53:50 843	Layer<2-3-3-1>:测试设备成功
01:53:50 857	Layer<2-3-3-1>:校验芯片开始
01:53:50 873	Layer<2-3-3-1>:校验芯片成功
01:53:50 887	Layer<2-3-3-1>:获取FlashInfo开始
